,Subject,Description,Start Date,Start  Time,End Time,Location
73,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-04,10:00,10:55, Lecture Hall BAX
74,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-07,10:00,10:55, Lecture Hall BAX
75,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-09,10:00,10:55, Lecture Hall BAX
76,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-11,10:00,10:55, Lecture Hall BAX
77,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-14,10:00,10:55, Lecture Hall BAX
78,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-16,10:00,10:55, Lecture Hall BAX
79,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-18,10:00,10:55, Lecture Hall BAX
80,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-21,10:00,10:55, Lecture Hall BAX
81,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-23,10:00,10:55, Lecture Hall BAX
82,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-28,10:00,10:55, Lecture Hall BAX
83,Ma 001A,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: 08 Katz, N",2022-11-30,10:00,10:55, Lecture Hall BAX
84,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-09-29,13:00,13:55,100 - Rock Auditorium BRD
85,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-10-06,13:00,13:55,100 - Rock Auditorium BRD
86,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-10-13,13:00,13:55,100 - Rock Auditorium BRD
87,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-10-20,13:00,13:55,100 - Rock Auditorium BRD
88,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-10-27,13:00,13:55,100 - Rock Auditorium BRD
89,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-11-03,13:00,13:55,100 - Rock Auditorium BRD
90,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-11-10,13:00,13:55,100 - Rock Auditorium BRD
91,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-11-17,13:00,13:55,100 - Rock Auditorium BRD
92,Ma 001A Recitation,"Course Title: Calculus of One and Several Variables and Linear Algebra
Section/Instructor: nan",2022-12-01,13:00,13:55,100 - Rock Auditorium BRD
93,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-09-27,19:30,20:55, 310 LINDE
94,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-09-29,19:30,20:55, 310 LINDE
95,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-04,19:30,20:55, 310 LINDE
96,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-06,19:30,20:55, 310 LINDE
97,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-11,19:30,20:55, 310 LINDE
98,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-13,19:30,20:55, 310 LINDE
99,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-18,19:30,20:55, 310 LINDE
100,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-20,19:30,20:55, 310 LINDE
101,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-25,19:30,20:55, 310 LINDE
102,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-10-27,19:30,20:55, 310 LINDE
103,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-01,19:30,20:55, 310 LINDE
104,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-03,19:30,20:55, 310 LINDE
105,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-08,19:30,20:55, 310 LINDE
106,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-10,19:30,20:55, 310 LINDE
107,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-15,19:30,20:55, 310 LINDE
108,Ma 008,"Course Title: Problem Solving in Calculus
Section/Instructor: 01 Graber, T",2022-11-17,19:30,20:55, 310 LINDE
